vOTU	MI02	MI09	MI13	MI20	MII02	MII09	MII13	MII20	MIII02	MIII09	MIII13	MIII20
NODE1_01	8984	0	0	0	7159	0	0	0	8461	0	0	0
NODE1_02	10276	2215	0	0	10859	2952	0	0	10720	3884	0	0
NODE1_03	0	0	4087	28467	0	0	4148	34303	0	0	4118	36547
NODE1_04	0	8352	0	0	0	8461	0	0	0	7613	0	0
NODE1_05	0	0	2982	11582	0	0	3654	14273	0	0	4661	15795
NODE10_01	0	4796	0	0	0	3517	0	0	0	2423	0	0
NODE100_01	26791	1520	0	0	26817	2502	0	0	29375	4210	0	0
NODE100_02	0	3351	0	0	0	2934	0	0	0	2127	0	0
NODE100_03	5822	0	0	0	5670	0	0	0	5237	0	0	0
NODE101_01	0	0	6580	23029	0	0	5876	17281	0	0	7483	14170
NODE101_02	1167	1740	0	0	0	2900	0	0	0	4419	0	0
NODE101_03	0	13591	0	0	0	10200	0	0	0	6432	0	0
NODE101_04	4912	0	0	0	5427	0	0	0	5573	0	0	0
NODE101_05	4517	0	0	0	5121	0	0	0	8069	2023	0	0
NODE101_06	0	0	4406	2365	0	0	4138	1772	0	0	4779	1866
NODE101_06	6468	6872	0	0	5492	7701	0	0	6442	12693	0	0
NODE102_01	0	5930	0	0	0	6569	0	0	0	3813	0	0
NODE102_02	0	0	0	4007	0	0	0	5569	0	0	0	6391
NODE102_03	0	4821	0	0	0	3571	0	831	0	1868	1078	0
NODE102_04	0	0	1126	5577	0	0	820	4222	0	0	0	4426
NODE102_05	0	0	8266	4307	0	0	7934	3633	0	0	8387	3303
NODE103_01	5616	2000	0	0	5623	1957	0	0	6506	3916	0	0
NODE103_02	0	0	2871	11438	0	0	3344	13550	0	0	4633	14960
NODE103_03	0	3867	0	0	0	2746	0	0	0	2921	0	0
NODE103_04	9521	0	0	0	10578	0	0	0	10752	0	0	0
NODE103_05	5360	0	0	0	4758	0	0	0	5171	1962	0	0
NODE103_06	0	0	2335	1499	0	0	2994	1295	0	0	3520	1182
NODE103_07	4700	0	0	0	3640	0	0	0	5129	1191	0	0
NODE104_01	4479	5682	0	0	4814	7051	0	0	4567	6397	0	0
NODE104_02	0	5490	0	0	0	4655	0	0	0	3796	0	0
NODE104_03	0	7235	0	0	0	5418	0	0	0	6483	0	0
NODE105_01	0	0	1078	7271	0	0	757	6300	0	0	0	5756
NODE105_02	14444	1558	0	0	15743	2352	0	0	15054	4490	0	0
NODE106_01	0	10197	0	0	0	11156	0	0	0	7089	0	0
NODE106_02	0	0	1581	3864	0	0	1212	3199	0	0	1294	3391
NODE106_03	6209	0	0	0	5400	0	0	0	4361	0	0	0
NODE107_01	0	0	12254	12149	0	0	12780	11533	0	0	13271	11244
NODE107_02	0	0	0	2974	0	0	0	3216	0	0	0	3532
NODE107_03	0	3385	0	0	0	2340	0	0	0	1634	0	0
NODE107_04	0	0	2865	12125	0	0	2217	8858	0	0	2564	9559
NODE107_05	8570	0	0	0	8871	0	0	0	7212	972	0	0
NODE107_06	0	0	0	2173	0	0	0	3435	0	0	0	3951
NODE108_01	0	0	1515	1423	0	0	2359	2032	0	0	3241	2744
NODE108_02	6121	826	0	0	4609	1539	0	0	4793	1273	0	0
NODE108_03	0	0	2286	4116	0	0	1604	3346	0	0	1929	3269
NODE108_04	5495	874	0	0	4707	0	0	0	5125	2126	0	0
NODE109_01	0	0	3460	11688	0	0	2878	9413	0	0	2970	10128
NODE109_02	56765	4957	0	0	53542	6885	0	0	48146	12295	0	0
NODE11_01	0	5625	0	0	0	6241	0	0	0	6409	0	0
NODE11_02	0	0	29453	10987	0	0	33003	13157	0	0	30749	13066
NODE11_01	0	0	1613	4393	0	0	1553	5063	0	0	1504	5213
NODE11_03	0	0	1547	4273	0	0	1723	6011	0	0	2252	6428
NODE110_01	0	21783	0	0	0	13871	0	0	0	7546	0	0
NODE110_02	9807	8526	0	0	10930	10453	0	0	11416	15677	0	0
NODE110_03	0	0	18124	29539	0	0	17467	37288	0	0	20505	29752
NODE110_04	5647	0	0	0	5055	0	0	0	5056	0	0	0
NODE111_01	0	13469	0	0	0	10244	0	0	0	6104	0	0
NODE111_02	0	4208	0	0	0	3438	0	0	0	2750	0	0
NODE111_03	0	0	3618	2567	0	0	3947	2979	0	0	4217	3060
NODE111_04	8029	0	0	0	8092	0	0	0	7819	2073	0	0
NODE111_05	5352	20720	0	0	4898	25122	0	0	4320	33010	0	0
NODE112_01	0	5012	0	0	0	5430	0	0	0	4241	0	0
NODE112_02	0	0	2228	2800	0	0	2467	2937	0	0	2773	3162
NODE112_03	0	3318	0	0	0	3215	0	0	0	2931	0	0
NODE112_04	0	0	2274	6437	0	0	2209	6170	0	0	2173	5600
NODE112_05	7205	0	0	0	7509	0	0	0	7317	1360	0	0
NODE113_01	0	4612	0	0	0	3267	0	0	0	2164	0	0
NODE114_01	0	0	4701	16048	0	0	4443	12613	0	0	3493	11721
NODE114_02	0	4066	0	0	0	3323	0	0	0	3544	0	0
NODE114_03	5581	0	0	0	5641	0	0	0	4971	0	0	0
NODE115_01	0	18263	0	0	0	11465	0	0	0	5932	0	0
NODE115_02	0	0	22973	7795	0	0	18841	6111	0	0	19276	6870
NODE115_03	0	0	3215	1344	0	0	3587	1218	0	0	2700	0
NODE115_04	12324	4089	0	0	13043	6408	0	0	12927	7676	0	0
NODE115_05	0	0	1396	4190	0	0	1612	5450	0	0	1681	6217
NODE115_06	6078	0	0	0	4458	0	0	0	4985	0	0	0
NODE116_01	0	16672	0	0	0	12402	0	0	0	14907	0	0
NODE116_02	2551	953	0	0	2669	1504	0	0	2745	3111	0	0
NODE116_03	0	3021	0	0	0	2694	0	0	0	2476	0	0
NODE117_01	3862	4209	0	0	4242	5937	0	0	3589	8213	0	0
NODE117_02	0	0	3480	0	0	0	3281	0	0	0	3430	0
NODE117_03	0	2668	0	0	0	1753	0	0	0	1522	0	0
